Game,DQN,DDQN,Prior.,DDQN,Duel.,DDQN,Distrib.,DQN,Noisy,DQN,Rainbow
alien,1620.0,3747.7,6648.6,4461.4,4055.8,2394.9,9491.7
amidar,978.0,1793.3,2051.8,2354.5,1267.9,1608.0,5131.2
assault,4280.0,5393.2,7965.7,4621.0,5909.0,5198.6,14198.5
asterix,4359.0,17356.5,41268.0,28188.0,400529.5,12403.8,428200.3
asteroids,1364.5,734.7,1699.3,2837.7,2354.7,4814.1,2712.8
atlantis,279987.0,106056.0,427658.0,382572.0,273895.0,329010.0,826659.5
bankheist,455.0,1030.6,1126.8,1611.9,1056.7,1323.0,1358.0
battlezone,29900.0,31700.0,38130.0,37150.0,41145.0,32050.0,62010.0
beamrider,8627.5,13772.8,22430.7,12164.0,13213.4,12534.0,16850.2
berzerk,585.6,1225.4,1614.2,1472.6,1421.8,837.3,2545.6
bowling,50.4,68.1,62.6,65.5,74.1,77.3,30.0
boxing,88.0,91.6,98.8,99.4,98.1,83.3,99.6
breakout,385.5,418.5,381.5,345.3,612.5,459.1,417.5
centipede,4657.7,5409.4,5175.4,7561.4,9015.5,4355.8,8167.3
choppercommand,6126.0,5809.0,5135.0,11215.0,13136.0,9519.0,16654.0
crazyclimber,110763.0,117282.0,183137.0,143570.0,178355.0,118768.0,168788.5
defender,23633.0,35338.5,24162.5,42214.0,37896.8,23083.0,55105.0
demonattack,12149.4,58044.2,70171.8,60813.3,110626.5,24950.1,111185.2
doubledunk,-6.6,-5.5,4.8,0.1,-3.8,-1.8,-0.3
enduro,729.0,1211.8,2155.0,2258.2,2259.3,1129.2,2125.9
fishingderby,-4.9,15.5,30.2,46.4,9.1,7.7,31.3
freeway,30.8,33.3,32.9,0.0,33.6,32.0,34.0
frostbite,797.4,1683.3,3421.6,4672.8,3938.2,583.6,9590.5
gopher,8777.4,14840.8,49097.4,15718.4,28841.0,15107.9,70354.6
gravitar,473.0,412.0,330.5,588.0,681.0,443.5,1419.3
hero,20437.8,20130.2,27153.9,20818.2,33860.9,5053.1,55887.4
icehockey,-1.9,-2.7,0.3,0.5,1.3,-2.1,1.1
kangaroo,7259.0,12992.0,14492.0,14854.0,12909.0,12117.0,14637.5
krull,8422.3,7920.5,10263.1,11451.9,9885.9,9061.9,8741.5
kungfumaster,26059.0,29710.0,43470.0,34294.0,43009.0,34099.0,52181.0
montezumarevenge,0.0,0.0,0.0,0.0,367.0,0.0,384.0
mspacman,3085.6,2711.4,4751.2,6283.5,3769.2,2501.6,5380.4
namethisgame,8207.8,10616.0,13439.4,11971.1,12983.6,8332.4,13136.0
phoenix,8485.2,12252.5,32808.3,23092.2,34775.0,16974.3,108528.6
pitfall,-286.1,-29.9,0.0,0.0,-2.1,-18.2,0.0
pong,19.5,20.9,20.7,21.0,20.8,21.0,20.9
privateeye,146.7,129.7,200.0,103.0,15172.9,3966.0,4234.0
qbert,13117.3,15088.5,18802.8,19220.3,16956.0,15276.3,33817.5
roadrunner,39544.0,44127.0,62785.0,69524.0,63366.0,41681.0,62041.0
robotank,63.9,65.1,58.6,65.3,54.2,53.5,61.4
seaquest,5860.6,16452.7,44417.4,50254.2,4754.4,2495.4,15898.9
skiing,-13062.3,-9021.8,-9900.5,-8857.4,-14959.8,-16307.3,-12957.8
solaris,3482.8,3067.8,1710.8,2250.8,5643.1,3204.5,3560.3
spaceinvaders,1692.3,2525.5,7696.9,6427.3,6869.1,2145.5,18789.0
stargunner,54282.0,60142.0,56641.0,89238.0,69306.5,34504.5,127029.0
surround,-5.6,-2.9,2.1,4.4,6.2,-3.3,9.7
tennis,12.2,-22.8,0.0,5.1,23.6,0.0,-0.0
timepilot,4870.0,8339.0,11448.0,11666.0,7875.0,6157.0,12926.0
tutankham,68.1,218.4,87.2,211.4,249.4,231.6,241.0
venture,163.0,98.0,863.0,497.0,1107.0,0.0,5.5
videopinball,196760.4,309941.9,406420.4,98209.5,478646.7,270444.6,533936.5
wizardofwor,2704.0,7492.0,10373.0,7855.0,15994.5,5432.0,17862.5
yarsrevenge,18089.9,11712.6,16451.7,49622.1,16608.6,9570.1,102557.0
zaxxon,5363.0,10163.0,13490.0,12944.0,18347.5,9390.0,22209.5